GTIN-14,Brand Name,Name,Size,Ingredients,Serving Size,Servings Per Container,Calories,Fat Calories,Fat (g),Saturated Fat (g),Trans Fat (g),Polyunsaturated Fat (g),Monounsaturated Fat (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Carbohydrate (g),Fiber (g),Sugars (g),Protein (g),Author,Format,Publisher,Pages,Alcohol By Volume,Images
09340224000518,The Chia Co,Australian Grown Chia Seeds,5.3 oz,,,,,,,,,,,,,,,,,,,,,,,""
00018200128899,Land Shark,Premium Lager,144 oz,,,,,,,,,,,,,,,,,,,,,,,""
00021273100129,Gunter's,Pure Honey,12 oz,,,,,,,,,,,,,,,,,,,,,,,""
00028400099851,Lay's,Wavy Original,6 1/2 oz,,,,,,,,,,,,,,,,,,,,,,,""
00078742353098,Great Value,Milk Chocolate Flavored Hot Cocoa Mix,20 oz,,,,,,,,,,,,,,,,,,,,,,,""
00038900004736,Dole,Pineapple Chunks,20 oz,,,,,,,,,,,,,,,,,,,,,,,""
00811568004252,Slimquick,Razor,60 caplets,,,,,,,,,,,,,,,,,,,,,,,""
00039400018834,Bush's,Reduced Sodium Black Beans,15 oz,,,,,,,,,,,,,,,,,,,,,,,""
00817669003224,Bewley's,Chai Tea,2 oz,,,,,,,,,,,,,,,,,,,,,,,""
00072979004143,Seagram's,Ginger Ale,12 fl oz(355 ml),,,,,,,,,,,,,,,,,,,,,,,""
00636046354373,Harney & Sons,Hot Cinnamon Spice Tea,2.67 oz,,,,,,,,,,,,,,,,,,,,,,,""
00030000012109,Quaker,Instant Oatmeal (Original),11.8 oz,,,,,,,,,,,,,,,,,,,,,,,""
00076150232585,Act Ii,Butter Lovers,8.25,,,,,,,,,,,,,,,,,,,,,,,""
00011152851716,Hapi Snacks,Hot Wasabi Peas,9.9 oz,,,,,,,,,,,,,,,,,,,,,,,""
00016000263444,General Mills,Cinnamon Chex,13.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00024600017077,Morton,Kosher Salt,16 oz,,,,,,,,,,,,,,,,,,,,,,,""
00079200558338,Nestle Wonka,Rainbow Nerds,5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00049000050141,Coca Cola,Coke Zero,67.6 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00022506135635,Spectrum,Organic Virgin Coconut Oil,29 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00051000062765,Hungry Man,Boneless Fried Chicken,16 oz,,,,,,,,,,,,,,,,,,,,,,,""
00041415126411,Publix,Reduced Sodium Dark Red Kidney Beans,15.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00853522000306,Enjoy Life,Semi Sweet Chocolate Mini Chips,10 oz,,,,,,,,,,,,,,,,,,,,,,,""
00622687019931,Clover Valley,Purified Drinking Water,16.9 oz,,,,,,,,,,,,,,,,,,,,,,,""
00011110865410,Kroger,Cream Of Mushroom,10.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00022506002005,Spectrum,Organic Coconut Oil,14 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00029000018600,Planters,Nutrition Sustaining Energy Mix,8.6 oz,,,,,,,,,,,,,,,,,,,,,,,""
00014113910026,Wonderful,Pistachios,16 oz,,,,,,,,,,,,,,,,,,,,,,,""
00024000163008,Del Monte,Sweet Corn Cream Style,14.75 oz,,,,,,,,,,,,,,,,,,,,,,,""
00011110890849,Kroger,Chunk Light Tuna,5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00076808523195,Barilla,"Spaghetti ""Al Dente""",2 lb,,,,,,,,,,,,,,,,,,,,,,,""
00636046354328,Harney & Sons,Blueberry Green Tea,2.67 oz,,,,,,,,,,,,,,,,,,,,,,,""
00022045025374,Davidson's,Meyer Lemon Tea With Honey,2.83 oz,,,,,,,,,,,,,,,,,,,,,,,""
00051000000118,Campbell's,Tomato Soup,10.75 oz,,,,,,,,,,,,,,,,,,,,,,,""
00038000558351,Kellogg's,Corn Pops,15 oz,,,,,,,,,,,,,,,,,,,,,,,""
00051000169044,Campbell's,Savory Chicken With Brown Rice,18.6 oz,,,,,,,,,,,,,,,,,,,,,,,""
00052100000428,Cake Mate,Nonpareils Rainbow,2.1 oz,,,,,,,,,,,,,,,,,,,,,,,""
00019200788496,Lysol,Disinfecting Wipes,28 oz,,,,,,,,,,,,,,,,,,,,,,,""
00074312505454,Nature's Bounty,Super Strength Melatonin,250 softgels,,,,,,,,,,,,,,,,,,,,,,,""
00050000646531,Nestle Coffee Mate,Girl Scouts Creamer,16 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00682430611768,Voss,Sparkling Water,"1.5 pt, 3.1 fl oz",,,,,,,,,,,,,,,,,,,,,,,""
00839451002055,Truly Indian,Indian Poppa Dum Crispy Snacks Lentil With Cumin,4.2 oz,,,,,,,,,,,,,,,,,,,,,,,""
00049508006176,Snack Factory,Pretzel Crisps,7.2 oz,,,,,,,,,,,,,,,,,,,,,,,""
00011110815989,Ralphs,Tomato Sauce,8 oz,,,,,,,,,,,,,,,,,,,,,,,""
00041570054161,Blue Diamond Almonds,Almond Breeze Almond Milk,32 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00096619939015,Kirkland,Acetaminophen,500 caplets,,,,,,,,,,,,,,,,,,,,,,,""
00048001213517,Best Foods,Real Mayonnaise,30 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00036800365421,Top Co,Food Club H2O Liquid Beverage Enhancer Lemonade,1.62 oz,,,,,,,,,,,,,,,,,,,,,,,""
00044500976489,Hillshire Farms,Honey Ham,9 oz,,,,,,,,,,,,,,,,,,,,,,,""
00038000402906,Kellogg's,Eggo Waffles,12.3 oz,,,,,,,,,,,,,,,,,,,,,,,""
00021000028207,Kraft,Honey Mustard Dressing,16 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00085239807866,Archer Farms,Monster Trail Mix,14 oz,,,,,,,,,,,,,,,,,,,,,,,""
00051500101667,Smucker's,Special Recipe Milk Chocolate Topping,17.75 oz,,,,,,,,,,,,,,,,,,,,,,,""
00072486002205,Jiffy,Corn Muffin Mix,8.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00048121292089,Thomas,Cinnamon Raisin Bagels,20 oz,,,,,,,,,,,,,,,,,,,,,,,""
00072220001433,Franz,Natural Nine Grain Bread,26 oz,,,,,,,,,,,,,,,,,,,,,,,""
00096619321063,Kirkland,Mixed Nuts,40 oz,,,,,,,,,,,,,,,,,,,,,,,""
00043000950197,Kraft Foods,Crystal Light Natural Pink Lemonade,1.9 oz,,,,,,,,,,,,,,,,,,,,,,,""
00085239206485,Market Pantry,Dipped Chocolate Chip Chewy Granola Bars,6.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00028400055970,Tostitos,"Chunky Salsa, Mild",15.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00030100033196,Keebler,Fudge Stripe Cookies,11.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00011110714589,Fred Meyer,Creamy Peanut Butter,28 oz,,,,,,,,,,,,,,,,,,,,,,,""
00078742075778,Great Value,Toasted Rice Cereal,12.8 oz,,,,,,,,,,,,,,,,,,,,,,,""
00044000024611,Mondelez International,Cheese Nips Cheddar,8 oz,,,,,,,,,,,,,,,,,,,,,,,""
00020000100395,Green Giant,Asparagus Spears,15 oz,,,,,,,,,,,,,,,,,,,,,,,""
00644209405930,Duncan Hines,"Whipped Frosting, Chocolate",14 oz,,,,,,,,,,,,,,,,,,,,,,,""
00051000011619,Campbell's,Cream Of Celery,10 3/4 oz,,,,,,,,,,,,,,,,,,,,,,,""
00041498115005,Happy Harvest,Whole Kernel Sweet Corn,15.25 oz,,,,,,,,,,,,,,,,,,,,,,,""
00034700000558,Allens Inc,Veg All Original Mixed Vegetable No Salt Added,15 oz,,,,,,,,,,,,,,,,,,,,,,,""
00049000019162,Coca Cola,Fanta Orange,20 oz,,,,,,,,,,,,,,,,,,,,,,,""
00016000298606,Nature Valley,Crunchy Granola Bars,17.8 oz,,,,,,,,,,,,,,,,,,,,,,,""
00036800315174,Top Co,Food Club No Salt Added Sliced Carrots,14.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00018000002108,Pillsbury,"Grands Flaky Layers, Buttermilk",16.3 oz,,,,,,,,,,,,,,,,,,,,,,,""
00029000017269,Planters,Nutrition Men's Health,10.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00029700321413,Idahoan,Mircowavable Buttery Homestyle Mashed Potatos,1.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00012000007460,Pepsi,Mountain Dew,2 L,,,,,,,,,,,,,,,,,,,,,,,""
00041800000081,Welch's,Concord Grape Jam,32 oz,,,,,,,,,,,,,,,,,,,,,,,""
00051000127679,Pepperidge Farm,"Texas Toast, Garlic",11.25 oz,,,,,,,,,,,,,,,,,,,,,,,""
00036800365438,Top Co,Food Club H2O Liquid Beverage Enhancer Sweet Tea,1.62 oz,,,,,,,,,,,,,,,,,,,,,,,""
00049000014648,Coca Cola,Diet Coke,240 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00085239020425,Market Pantry,Pure Honey,24 oz,,,,,,,,,,,,,,,,,,,,,,,""
00041498120511,Happy Harvest,Cut Green Beans,14.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00071300050019,New World Pasta Company,Ronzoni Smart Taste Thin Spaghetti,12 oz,,,,,,,,,,,,,,,,,,,,,,,""
00044000007683,Nabisco,"Mini Teddy Grahams, Honey",8 oz,,,,,,,,,,,,,,,,,,,,,,,""
00016000457058,Betty Crocker,"Peanut Butter Cookie Mix, Snack Size",7.2 oz,,,,,,,,,,,,,,,,,,,,,,,""
00077890282199,Wegmans,Sparkling Water,12 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00041498192945,Dakota's Pride,Homestyle Baked Beans,28 oz,,,,,,,,,,,,,,,,,,,,,,,""
00013300551059,Martha White,Chocolate Chip Muffin Mix,7.4 oz,,,,,,,,,,,,,,,,,,,,,,,""
00030000059500,Aunt Jemima,Original Syrup,12 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00030000316849,Quaker,Instant Oatmeal,15.1 oz,,,,,,,,,,,,,,,,,,,,,,,""
00042396801120,Mother's Maid,Sliced Carrots,15 oz,,,,,,,,,,,,,,,,,,,,,,,""
00085239141243,Market Panty,"Cream Cheese Spread, Plain",8 oz,,,,,,,,,,,,,,,,,,,,,,,""
00041780072757,Utz,Cheese Balls,28 oz,,,,,,,,,,,,,,,,,,,,,,,""
00016000434738,General Mills,Cinnamon Toast Crunch Cereal,16.2 oz,,,,,,,,,,,,,,,,,,,,,,,""
00036800045156,Top Co,Food Club No Salt Added Mixed Vegetables,15 oz,,,,,,,,,,,,,,,,,,,,,,,""
00030100540960,Keebler,"Chips Deluxe Cookies, Rainbow",14.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00033776011000,Smart Balance,"Buttery Spread, Original",15 oz,,,,,,,,,,,,,,,,,,,,,,,""
00038000844973,Pringles,Bbq Potato Crisps,5.96 oz,,,,,,,,,,,,,,,,,,,,,,,""
00699235001007,Yakult,Non Fat Probiotic Drink,2.7 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00036800067288,Top Co,Food Club Diced Tomatoes And Green Chilies Mild,10 oz,,,,,,,,,,,,,,,,,,,,,,,""
00644209405565,Duncan Hines,Milk Chocolate Brownies,18 oz,,,,,,,,,,,,,,,,,,,,,,,""
00085239206201,Market Pantry,Wild Fruit Fruit Fuses,9 oz,,,,,,,,,,,,,,,,,,,,,,,""
00085239382905,Market Pantry,Vegetable Farfalle,12 oz,,,,,,,,,,,,,,,,,,,,,,,""
00038000845000,Pringles,Sour Cream And Onion Chips,5.96 oz (169 g),"CONTAINS WHEAT AND MILK INGREDIENTS.

Note:
Dietary Fiber is <1 g;
Sugar is <1 g;","1 Ounce (28 g, approx. 15 crisps)",approx. 6,150,80,9.0,2.5,0.0,,,0,160,,16,1,1,1,,,,,,""
00030000314258,Quaker,"Chewy Dipps, Chocolate Chip",19.6 oz,,,,,,,,,,,,,,,,,,,,,,,""
00021000612239,Kraft,Philadelphia Original Cream Cheese,8 oz,,,,,,,,,,,,,,,,,,,,,,,""
00073040005588,Francisco International,Outdoor Gourmet Rolls,16 oz,,,,,,,,,,,,,,,,,,,,,,,""
00016000306301,Betty Crocker,Sugar Cookie Mix,17.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00011110825582,Fred Meyer,Pure Vegetable Oil,24 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00021000643615,Kraft,Classic Ranch Dressing,16 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00011110818386,Fred Meyer,Pure Clover Honey,16 oz,,,,,,,,,,,,,,,,,,,,,,,""
00016000306707,Betty Crocker,Cookie Mix Double Chocolate,17.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00041498147945,Chef's Cupboard,Cream Of Potato,10.75 oz,,,,,,,,,,,,,,,,,,,,,,,""
00036800192249,Top Co,Food Club Cream Of Chicken Condensed Soup,10.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00021000644711,Kraft,Roka Blue Cheese,16 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00011110816825,Fred Meyer,Salted Butter,16 oz,,,,,,,,,,,,,,,,,,,,,,,""
00016000275690,General Mills,Lucky Charms Cereal,16 oz,,,,,,,,,,,,,,,,,,,,,,,""
00041498155193,Dakota's,Black Beans,15.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00021000035847,Kraft Foods,Macaroni And Cheese Whole Grain Original Flavor Microwavable,2 oz,,,,,,,,,,,,,,,,,,,,,,,""
00041498117801,Happy Harvest,Tomato Sauce,8 oz,,,,,,,,,,,,,,,,,,,,,,,""
00038000844966,Pringles,Original Potato Crisps,5.68 oz (161 g),"Dried potatoes, vegetable oil (contains one or more of the following: corn oil, cottonseed oil, soybean oil, and/or sunflower oil), cornstartch, degerminated yellow corn flour, rice flour, maltodextrin, mono- and diglycerides, salt, wheat dextrose.
CONTAINS WHEAT INGREDIENTS.

Comment: Dietary fiber is marked as ""less than 1g""","1 oz (28 g, approx. 16 crisps)",approx. 6,150,90,9.0,2.5,0.0,,,0,150,,16,1,0,1,,,,,,""
00011110099532,Kroger,Seasoned Herb Croutons,5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00021000010882,Kraft,Macaroni And Cheese Microwavable,2.05 oz,,,,,,,,,,,,,,,,,,,,,,,""
00036800533554,Top Co,Food Club Fat Free Evaporated Milk,12 oz,,,,,,,,,,,,,,,,,,,,,,,""
00036800365414,Top Co,Food Club H2O Liquid Beverage Enhancer Fruit Punch,1.62 oz,,,,,,,,,,,,,,,,,,,,,,,""
00075720431151,Poland Spring,Water,23.7 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00030100303541,Keebler,Club Crackers,16 oz,,,,,,,,,,,,,,,,,,,,,,,""
00078742374109,Great Value,Mandarin Oranges,11 oz,,,,,,,,,,,,,,,,,,,,,,,""
00072486002601,Jiffy,Raspberry Muffin Mix,7 oz,,,,,,,,,,,,,,,,,,,,,,,""
00085239011225,Market Pantry,Chicken Breast Tenders,25.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00884912129789,Post,Fruity Pebbles,34 oz,,,,,,,,,,,,,,,,,,,,,,,""
00082657334127,Deer Park,100% Natural Spring Water,101.4 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00041303003206,Essential Everyday,Blackeye Peas,16 oz,,,,,,,,,,,,,,,,,,,,,,,""
00041415101050,Publix,Crispy Rice,12 oz,,,,,,,,,,,,,,,,,,,,,,,""
00011129000130,Golden Eagle,Syrup,15 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00011110002969,Kroger,Basil Leaves,0.43 oz,,,,,,,,,,,,,,,,,,,,,,,""
00739952601927,Hokan,Chili Oil,6.2 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00040100002924,Spice Islands,Tarragon,0.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00041351914615,Planters,Cashew Nuts,16.25 oz,,,,,,,,,,,,,,,,,,,,,,,""
00021500003001,Lawry's,Seasoned Salt,16 oz,,,,,,,,,,,,,,,,,,,,,,,""
00050000322909,Coffeemate,Hazelnut Coffee Creamer,32 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00041415006317,Mazola,Vegetable Oil,40 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00664766062094,Betty Crocker,Snack Size Cookie Mix,7.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00040100002573,Spice Islands,Ground Mustard,1.8 oz,,,,,,,,,,,,,,,,,,,,,,,""
00050000010110,Carnation,Evaporated Milk,12 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00039978003942,Bob's Red Mill,Gluten Free Pizza Crust Whole Grain Mix,16 oz,,,,,,,,,,,,,,,,,,,,,,,""
00076808521801,Inner Armour,Mass Peak,6.6 lb,,,,,,,,,,,,,,,,,,,,,,,""
00025500800318,Folgers,Classic Decaf,13 oz,,,,,,,,,,,,,,,,,,,,,,,""
00051500040423,Smucker's,Sugar Free Strawberry Preserves,12.75 oz,,,,,,,,,,,,,,,,,,,,,,,""
00785331757129,Gwaltney,Chicken Hot Dogs (Pork And Beef Added),12 oz,,,,,,,,,,,,,,,,,,,,,,,""
00802763028907,Sunsweet,Pitted Prunes,9 oz,,,,,,,,,,,,,,,,,,,,,,,""
00033844005184,Badia,Whole Flax Seed,22 oz,,,,,,,,,,,,,,,,,,,,,,,""
00834183009006,Alexia,Artisan French Rolls,12 oz,,,,,,,,,,,,,,,,,,,,,,,""
00040100002306,Cheez Whiz,021000626793,15 oz,,,,,,,,,,,,,,,,,,,,,,,""
00070490003355,Black Top,Skinless Boneless Pink Salmon,6 oz,,,,,,,,,,,,,,,,,,,,,,,""
00052100003320,McCormick,Celery Seed,1.62 oz,,,,,,,,,,,,,,,,,,,,,,,""
00034000053001,Hershey's,Special Dark Cocoa,8 oz,,,,,,,,,,,,,,,,,,,,,,,""
00073574800017,Foxy Organic,Celery Hearts,16 oz,,,,,,,,,,,,,,,,,,,,,,,""
00024600017008,Nabisco,Oreo,14.3 oz,,,,,,,,,,,,,,,,,,,,,,,""
00041443116330,Margaret Holmes,Hoppin' John,14.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00048001703056,Knorr,Hollandaise Sauce,0.9 oz,,,,,,,,,,,,,,,,,,,,,,,""
00041351913649,Tone's,Cumin Ground,16 oz,,,,,,,,,,,,,,,,,,,,,,,""
00621683921354,Tinkyada,Brown Rice Lasagne With Rice Bran,10 oz,,,,,,,,,,,,,,,,,,,,,,,""
00040100002948,Spice Islands,Turmeric,2.2 oz,,,,,,,,,,,,,,,,,,,,,,,""
00041498143374,Berryhill,Concord Grape Jelly,32 oz (907g),,1tbsp (20g),45,50,,0.0,,,,,,15,,13,,13,0,,,,,,""
00070650800121,A Taste Of Thai,Coconut Milk,13.5 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00897034002618,Nature's Earthly Choice,100% Whole Grain Black Rice,4 lb,,,,,,,,,,,,,,,,,,,,,,,""
00016000164901,General Mills,"Sweet'n Salty Chex Mix, Honey Nut",8.75 oz,,,,,,,,,,,,,,,,,,,,,,,""
00012000002311,Pepsi,Diet Pepsi,2 L,,,,,,,,,,,,,,,,,,,,,,,""
00018627510031,Kashi,Heart To Heart Oat Flakes & Blueberry Clusters,13.4 oz,,,,,,,,,,,,,,,,,,,,,,,""
00040100002849,Inner Armour,Mass Peak,6.6 lb,,,,,,,,,,,,,,,,,,,,,,,""
00076344089353,Wellness,Chicken Formula,5.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00040100002160,Spice Islands,Ground Cardamom,2 oz,,,,,,,,,,,,,,,,,,,,,,,""
00038000731099,Kellogg's,Special K Granola Bars,4.4 oz,,,,,,,,,,,,,,,,,,,,,,,""
00041143128701,Sun Maid,Raisins,20 oz,,,,,,,,,,,,,,,,,,,,,,,""
00091475630069,Milo's,No Calorie Famous Sweet Tea,20 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00028400159869,Ruffles,Ultimate Kickin' Jalapeno Ranch,7 1/2 oz,,,,,,,,,,,,,,,,,,,,,,,""
00015800030119,C&H,Pure Cane Sugar,16 oz,,,,,,,,,,,,,,,,,,,,,,,""
00014800210842,Mott's,Summer Strawberry Flavored Applesauce,23.4 oz,,,,,,,,,,,,,,,,,,,,,,,""
00041196010954,Progresso,Traditional Split Pea Soup,19 oz,,,,,,,,,,,,,,,,,,,,,,,""
08801007440750,Beksul,Sesame Oil,500 ml,,,,,,,,,,,,,,,,,,,,,,,""
00011110684219,Kroger,Paprika,1.75 oz,,,,,,,,,,,,,,,,,,,,,,,""
00041130310690,Shoppers Value,Soul Seasoning,5.4 oz,,,,,,,,,,,,,,,,,,,,,,,""
00038000516993,Kellogg's,Frosted Pumpkin Pie Pop Tarts,21.1 oz,,,,,,,,,,,,,,,,,,,,,,,""
00048001221291,Knorr,Vegetable Recipe Mix,1.4 oz,,,,,,,,,,,,,,,,,,,,,,,""
00025317055192,Applegate,Gluten Free Chicken Nuggets,16 oz,,,,,,,,,,,,,,,,,,,,,,,""
00011110734983,Kroger,Chesapeake Bay Style Seasoning,6 oz,,,,,,,,,,,,,,,,,,,,,,,""
00027434012249,Twinlab,Norwegian Cod Liver Oil,12 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00076344079149,Wellness,Core Grain Free Kitten Formula,5.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00011152150635,Dynasty,Panko,8 oz,,,,,,,,,,,,,,,,,,,,,,,""
00024100440771,Sunshine,Cheez It Reduced Fat,11.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00700596000124,Spry,Spearmint Gum,108 g,,,,,,,,,,,,,,,,,,,,,,,""
00049000045758,Shedd's Spread,Country Crock,15 oz,,,,,,,,,,,,,,,,,,,,,,,""
00049200045701,Domino,Pure Cane Sugar,4 lb.,,,,,,,,,,,,,,,,,,,,,,,""
00041500805054,Frank's,Red Hot Original Cayenne Pepper Sauce,23 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00021500222037,Betty Crocker,Sugar Cookie Mix,17.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00052100002835,McCormick,Ground Cayenne Red Pepper,1.75 oz,,,,,,,,,,,,,,,,,,,,,,,""
00016000457249,McCormick,Spanish Saffron,0.06 oz,,,,,,,,,,,,,,,,,,,,,,,""
00033776017804,Smart Balance,Light Butter & Canola Oil Blend,7.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00071421102406,Pierre Signatures,Chicken Sandwich,4 oz,,,,,,,,,,,,,,,,,,,,,,,""
00052100010908,McCormick,Bac'n Pieces,4.1 oz,,,,,,,,,,,,,,,,,,,,,,,""
00739952601323,Market Pantry,Black Pepper,1.39 oz,,,,,,,,,,,,,,,,,,,,,,,""
00032251123993,Family Gourmet,Granulated Sugar,64 oz,,,,,,,,,,,,,,,,,,,,,,,""
00076344089322,Wellness,Chicken & Herring Formula,5.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00039000045124,Libby's,100% Pure Pumpkin,29 oz,,,,,,,,,,,,,,,,,,,,,,,""
00076344079019,Wellness,"Core Grain Free Chicken, Turkey & Chicken Liver Formula",5.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00024300781063,Sunbelt Bakery,Chocolate Chip Chewy Granola Bar,1.7 oz,,,,,,,,,,,,,,,,,,,,,,,""
00725439941457,Nature's Place,Baby Arugula,5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00076344079040,Wellness,Core Grain Free Turkey & Duck Formula,5.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00071439400167,Rolling Rock,Extra Pale,16 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00018627407249,Kashi,Go Lean Crisp!,15 oz,,,,,,,,,,,,,,,,,,,,,,,""
00024126010224,Bunny,Hamburger Buns,12 oz,,,,,,,,,,,,,,,,,,,,,,,""
00076344079132,Wellness,"Core Grain Free Beef, Venison & Lamb Formula",5.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00021130602346,McCormick,Ground Cumin,2 oz,,,,,,,,,,,,,,,,,,,,,,,""
00041129077009,Classico,Fire Roasted Tomato & Garlic Pasta Sauce,26 oz,,,,,,,,,,,,,,,,,,,,,,,""
00048000000958,Chicken Of The Sea,Solid White Albacore Tuna In Water,5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00074198611126,Muzzi Family Farms,Fresh Spinach,10 oz,,,,,,,,,,,,,,,,,,,,,,,""
00011110090904,Kroger,Original Saltines,16 oz,,,,,,,,,,,,,,,,,,,,,,,""
00051000192011,V8,V Fusion Juice,46 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00016000483668,General Mills,Honey Nut Cheerios,21.6 oz,,,,,,,,,,,,,,,,,,,,,,,""
00041500805023,Frank's,Red Hot,12 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00028400039055,Frito Lay,Sunflower Seeds (Ranch),1 7/8 oz,,,,,,,,,,,,,,,,,,,,,,,""
00725439944625,Nature's Place,Organic Celery Hearts,10 oz,,,,,,,,,,,,,,,,,,,,,,,""
00078742432410,Schweppes,Ginger Ale,2 L,,,,,,,,,,,,,,,,,,,,,,,""
00070177154127,Twinings,Darjeeling Tea,1.41 oz,,,,,,,,,,,,,,,,,,,,,,,""
00044300106222,Fleischmann's,Bread Macine Yeast,4 oz,,,,,,,,,,,,,,,,,,,,,,,""
00041130052002,Flavorite,Chicken Flavor Bouillon Instant,4 oz,,,,,,,,,,,,,,,,,,,,,,,""
00078185000207,Mrs. Budd's,Fully Baked Chicken Pie,36 oz,,,,,,,,,,,,,,,,,,,,,,,""
00017300250325,Spice Treasures,Italian Seasoning,0.6 oz,,,,,,,,,,,,,,,,,,,,,,,""
00070650800138,Kellogg's,Special K Multi Grain Crackers,8 oz,,,,,,,,,,,,,,,,,,,,,,,""
00040100002252,Spice Islands,Cilantro,0.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00040100002436,Spice Islands,Ground Ginger,1.9 oz,,,,,,,,,,,,,,,,,,,,,,,""
00049022605367,Nice!,Purified Water,10000 Gallons,,,,,,,,,,,,,,,,,,,,,,,""
00040100003914,Spice Islands,Pure Vanilla Extract,2 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00044600008882,Fomula 409,All Purpose Cleaner,32 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00087614110813,Swanson Premium Brand,"Glucosamine, Chondroitin, & Msm",240 tablets,,,,,,,,,,,,,,,,,,,,,,,""
00028400190787,Frito Lay,Chester's Fries (Flamin' Hot),5 3/4 oz,,,,,,,,,,,,,,,,,,,,,,,""
00072487127396,Clover Valley,Country Sunrise Blend Ground Coffee,10.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00041501008249,Ortega,Taco Seasoning Mix,1.25 oz,,,,,,,,,,,,,,,,,,,,,,,""
00094514419625,Xtra,Lasting Scentsations Laundry Detergent,75 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00070662010020,Nissin,Top Ramen (Beef Flavor),3 oz,,,,,,,,,,,,,,,,,,,,,,,""
00052100003436,McCormick,Whole Nutmeg,1.5 oz,,,,,,,,,,,,,,,,,,,,,,,""
00041789002311,Maruchan Ramen,Chicken Flavor Ramen 12 Pack,36 oz,,,,,,,,,,,,,,,,,,,,,,,""
00075140006007,Clover Valley,Natural Spring Water,50.7 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00892671000096,Spice Meister Gourmet Select,Chicken Base,10 oz,,,,,,,,,,,,,,,,,,,,,,,""
